category,question,answer,source_type,source,disclaimer,last_updated
ESI Community,Where can I find Fares Mezenner's Instagram account?,Fares Mezenner's Instagram account is https://www.instagram.com/fares_mezenner/.,ESI content creator — not official,Instagram account supplied by user,Community/content-creator account; not an official ESI source.,
ESI Alumni,Where can I find Dr. Baghdadi Riyadh's Instagram account?,Dr. Baghdadi Riyadh's Instagram account is https://www.instagram.com/dr.baghdadi.riyadh/.,ESI alumni — user-provided,Instagram account supplied by user,Profile supplied by the user; this entry does not independently verify alumni status.,
ESI Alumni,Where can I find Meziane Dahou's Instagram account?,Meziane Dahou's Instagram account is https://www.instagram.com/mezianedahou/.,ESI alumni — user-provided,Instagram account supplied by user,Profile supplied by the user; this entry does not independently verify alumni status.,
ESI Clubs & Communities,Where can I find AstroTech ESI on Instagram?,AstroTech ESI's Instagram account is https://www.instagram.com/astrotech_esi/.,ESI club/community account — user-provided,Instagram account supplied by user,Social-media account; not an official institutional source.,
ESI Clubs & Communities,Where can I find School of AI Algiers on Instagram?,School of AI Algiers's Instagram account is https://www.instagram.com/soai_algiers/.,ESI club/community account — user-provided,Instagram account supplied by user,Social-media account; not an official institutional source.,
ESI Clubs & Communities,Where can I find CACE Club on Instagram?,CACE Club's Instagram account is https://www.instagram.com/cace.club/.,ESI club/community account — user-provided,Instagram account supplied by user,Social-media account; not an official institutional source.,
ESI Clubs & Communities,Where can I find SEC ESI on Instagram?,SEC ESI's Instagram account is https://www.instagram.com/sec.esi/.,ESI club/community account — user-provided,Instagram account supplied by user,Social-media account; not an official institutional source.,
ESI,Where can I find ESI Algiers on Facebook?,The ESI Algiers Facebook page is https://www.facebook.com/ESI.Page/.,Official ESI social page,ESI Facebook page,Official ESI social-media page.,
Student Life,Where can I find the official Facebook page of Cité El Alia?,The official Facebook page provided for Cité El Alia (girls' residence) is https://www.facebook.com/cite.el.alia/.,Official residence social page — user-provided,Facebook page supplied by user,Page identification is based on the user's supplied link.,
Academic Rules,What is a 'note éliminatoire' and what is 'rachat' at ESI?,"A 'note éliminatoire' is a grade in a module considered too low to pass, which normally forces a student to repeat the year unless compensated. 'Rachat' refers to a compensation mechanism that can allow a student with one eliminatory grade to still validate their year instead of repeating it, under specific conditions set by ESI's academic regulations. The formula is now confirmed: for each module, the eliminatory threshold ('Moyenne NE') is approximately 60% (0.6x) of that module's class average ('Moyenne') for the given period. This was verified by cross-checking all module figures across three official Procès-Verbaux de Délibération (1CP S1 2023/2024, 1CP S2 2023/2024, and 2CP S1 2025/2026) — the ratio holds consistently for every module in all three documents.","Official ESI administration data — formula confirmed","ESI internal documents: PV_NOTES_ELIMINATOIRES_1CP_2023_S1, PV_NOTES_ELIMINATOIRES_1CP_2023_S2, PV_NOTES_ELIMINATOIRES_2CP_2025_S1 (Procès-Verbaux de Délibération)","The ~60% ratio is derived empirically from official PV figures and held for all 24 module entries checked (small rounding differences of a few hundredths were observed, likely due to rounding of the published class average). This describes how the threshold for a given module/period is computed, not a universal minimum passing grade. Still verify current-year specifics with ESI's scolarité/règlement pédagogique.",2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Introduction au Système d'exploitation 1 (SYST1) in 1CP S1 2023/2024?","For SYST1 (Introduction au Système d'exploitation 1) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 14.37, eliminatory threshold (Moyenne NE) = 8.58, coefficient = 3.00, credits = 3.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Algorithmique et Structures de Données Statiques (ALSDS) in 1CP S1 2023/2024?","For ALSDS (Algorithmique et Structures de Données Statiques) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 12.36, eliminatory threshold (Moyenne NE) = 7.38, coefficient = 5.00, credits = 6.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Architectures des ordinateurs 1 (ARCH1) in 1CP S1 2023/2024?","For ARCH1 (Architectures des ordinateurs 1) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 9.76, eliminatory threshold (Moyenne NE) = 5.82, coefficient = 4.00, credits = 5.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Analyse mathématique 1 (ANAL1) in 1CP S1 2023/2024?","For ANAL1 (Analyse mathématique 1) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 12.21, eliminatory threshold (Moyenne NE) = 7.30, coefficient = 5.00, credits = 6.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Algèbre 1 (ALG1) in 1CP S1 2023/2024?","For ALG1 (Algèbre 1) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 13.07, eliminatory threshold (Moyenne NE) = 7.80, coefficient = 3.00, credits = 3.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Eléctricité (ELECT) in 1CP S1 2023/2024?","For ELECT (Eléctricité) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 11.35, eliminatory threshold (Moyenne NE) = 6.76, coefficient = 3.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Technique d'expression écrite (TEE) in 1CP S1 2023/2024?","For TEE (Technique d'expression écrite) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 13.71, eliminatory threshold (Moyenne NE) = 8.19, coefficient = 2.00, credits = 2.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Bureautique et Web (BW) in 1CP S1 2023/2024?","For BW (Bureautique et Web) in 1CP, period S1, academic year 2023/2024: class average (Moyenne) = 14.58, eliminatory threshold (Moyenne NE) = 8.75, coefficient = 1.00, credits = 1.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S1,Figures apply only to the 2023/2024 S1 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Analyse 2 (ANAL2) in 1CP S2 2023/2024?","For ANAL2 (Analyse 2) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 10.95, eliminatory threshold (Moyenne NE) = 6.57, coefficient = 5.00, credits = 6.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Algèbre 2 (ALG2) in 1CP S2 2023/2024?","For ALG2 (Algèbre 2) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 10.39, eliminatory threshold (Moyenne NE) = 6.23, coefficient = 3.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Techniques d'expression orale (TEO) in 1CP S2 2023/2024?","For TEO (Techniques d'expression orale) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 14.29, eliminatory threshold (Moyenne NE) = 8.58, coefficient = 2.00, credits = 2.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Anglais 1 (ANG1) in 1CP S2 2023/2024?","For ANG1 (Anglais 1) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 13.64, eliminatory threshold (Moyenne NE) = 8.19, coefficient = 2.00, credits = 2.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Mécanique du point (MECA) in 1CP S2 2023/2024?","For MECA (Mécanique du point) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 10.31, eliminatory threshold (Moyenne NE) = 6.19, coefficient = 3.00, credits = 3.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Electronique fondamentale 1 (ELEF1) in 1CP S2 2023/2024?","For ELEF1 (Electronique fondamentale 1) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 13.75, eliminatory threshold (Moyenne NE) = 8.25, coefficient = 4.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Algorithmique et Structure de données dynamique (ALSDD) in 1CP S2 2023/2024?","For ALSDD (Algorithmique et Structure de données dynamique) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 9.15, eliminatory threshold (Moyenne NE) = 5.49, coefficient = 5.00, credits = 6.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Introduction aux systèmes d'exploitation 2 (SYST2) in 1CP S2 2023/2024?","For SYST2 (Introduction aux systèmes d'exploitation 2) in 1CP, period S2, academic year 2023/2024: class average (Moyenne) = 10.77, eliminatory threshold (Moyenne NE) = 6.46, coefficient = 3.00, credits = 3.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_1CP_2023_S2,Figures apply only to the 2023/2024 S2 cohort of 1CP and will differ in other years; verify against the current year's official PV.,01/07/2024
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Electronique fondamentale 2 (ELEF2) in 2CP S1 2025/2026?","For ELEF2 (Electronique fondamentale 2) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 15.48, eliminatory threshold (Moyenne NE) = 9.29, coefficient = 4.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Structure Fichiers et Structures de Données (SFSD) in 2CP S1 2025/2026?","For SFSD (Structure Fichiers et Structures de Données) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 9.93, eliminatory threshold (Moyenne NE) = 5.96, coefficient = 4.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Architecture des ordinateurs 2 (ARCH2) in 2CP S1 2025/2026?","For ARCH2 (Architecture des ordinateurs 2) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 12.81, eliminatory threshold (Moyenne NE) = 7.69, coefficient = 4.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Analyse 3 (ANAL3) in 2CP S1 2025/2026?","For ANAL3 (Analyse 3) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 12.35, eliminatory threshold (Moyenne NE) = 7.41, coefficient = 5.00, credits = 6.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Algèbre 3 (ALG3) in 2CP S1 2025/2026?","For ALG3 (Algèbre 3) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 12.80, eliminatory threshold (Moyenne NE) = 7.68, coefficient = 3.00, credits = 3.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Probabilités et statistiques (PRST1) in 2CP S1 2025/2026?","For PRST1 (Probabilités et statistiques) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 11.82, eliminatory threshold (Moyenne NE) = 7.09, coefficient = 4.00, credits = 4.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Anglais 2 (ANG2) in 2CP S1 2025/2026?","For ANG2 (Anglais 2) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 13.81, eliminatory threshold (Moyenne NE) = 8.29, coefficient = 2.00, credits = 2.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Grades - Notes Eliminatoires,"What is the eliminatory note (Moyenne NE) for Economie (ECON) in 2CP S1 2025/2026?","For ECON (Economie) in 2CP, period S1, academic year 2025/2026: class average (Moyenne) = 11.16, eliminatory threshold (Moyenne NE) = 6.70, coefficient = 2.00, credits = 3.",Official ESI administration data,ESI internal document: PV_NOTES_ELIMINATOIRES_2CP_2025_S1,Figures apply only to the 2025/2026 S1 cohort of 2CP and will differ in other years; verify against the current year's official PV.,07/03/2026
Contact,Are there community Facebook groups where ESI students discuss orientation and questions?,"Yes. 'ESI | Orientation: informations et conseils' is a student community group where ESI students discuss orientation, courses, and general questions. There is also a group for ENSI Sidi Bel Abbès students.",Community resource (not official),https://facebook.com/groups/EsiOrientation/ ; https://facebook.com/groups/ensi.sba/,"These are student-run community groups, not official ESI channels. Answers posted there are informal, anonymous, and not verified by the administration — treat any specific rule, number, or procedure mentioned there as unconfirmed until checked against an official source.",
